2025-02-03 2:28:07 PM app start
2025-02-03 2:57:06 PM A04 consumtion realtime data calculated
2025-02-03 2:57:06 PM SC_CHOLUEDEE consumtion historian data calculated
2025-02-03 2:57:06 PM A04 consumtion historian data calculated
2025-02-03 2:57:06 PM SC_SULTAN consumtion realtime data calculated
2025-02-03 2:57:06 PM A01 consumtion realtime data calculated
2025-02-03 2:57:06 PM A05 consumtion realtime data calculated
2025-02-03 2:57:06 PM SC_SULTAN consumtion historian data calculated
2025-02-03 2:57:06 PM A01 consumtion historian data calculated
2025-02-03 2:57:06 PM A05 consumtion historian data calculated
2025-02-03 2:57:06 PM A02 consumtion realtime data calculated
2025-02-03 2:57:06 PM A02 consumtion historian data calculated
2025-02-03 2:57:06 PM A06 consumtion realtime data calculated
2025-02-03 2:57:06 PM SC_GLORY3 consumtion realtime data calculated
2025-02-03 2:57:06 PM SC_GLORY1 consumtion realtime data calculated
2025-02-03 2:57:06 PM A09 consumtion realtime data calculated
2025-02-03 2:57:06 PM A07 consumtion realtime data calculated
2025-02-03 2:57:06 PM A06 consumtion historian data calculated
2025-02-03 2:57:06 PM BB_MULIA consumtion realtime data calculated
2025-02-03 2:57:06 PM SC_GLORY3 consumtion historian data calculated
2025-02-03 2:57:06 PM SC_GLORY1 consumtion historian data calculated
2025-02-03 2:57:06 PM A09 consumtion historian data calculated
2025-02-03 2:57:06 PM A07 consumtion historian data calculated
2025-02-03 2:57:06 PM A02 spd rpm realtime calulated
2025-02-03 2:57:06 PM A07 spd rpm realtime calulated
2025-02-03 2:57:06 PM A05 spd rpm realtime calulated
2025-02-03 2:57:06 PM SC_GLORY1 spd rpm realtime calulated
2025-02-03 2:57:06 PM A06 spd rpm realtime calulated
2025-02-03 2:57:06 PM BB_MULIA consumtion historian data calculated
2025-02-03 2:57:06 PM SC_RAJA consumtion realtime data calculated
2025-02-03 2:57:06 PM SC_GLORY3 spd rpm realtime calulated
2025-02-03 2:57:07 PM SC_SULTAN spd rpm realtime calulated
2025-02-03 2:57:07 PM A04 spd rpm realtime calulated
2025-02-03 2:57:07 PM A03 spd rpm realtime calulated
2025-02-03 2:57:07 PM SC_CHOLUEDEE spd rpm realtime calulated
2025-02-03 2:57:07 PM A01 spd rpm realtime calulated
