2025-01-31 7:04:00 AM SC_GLORY3 consumtion historian data calculated
2025-01-31 7:04:00 AM A05 consumtion historian data calculated
2025-01-31 7:04:00 AM A07 consumtion historian data calculated
2025-01-31 7:04:01 AM A09 consumtion historian data calculated
2025-01-31 7:04:01 AM SC_RAJA consumtion historian data calculated
2025-01-31 7:04:01 AM SC_SULTAN flowrate realtime data calculated
2025-01-31 7:04:01 AM A06 flowrate realtime data calculated
2025-01-31 7:04:01 AM SC_CHOLUEDEE flowrate realtime data calculated
2025-01-31 7:04:01 AM A05 flowrate realtime data calculated
2025-01-31 7:04:01 AM SC_GLORY1 flowrate realtime data calculated
2025-01-31 7:04:01 AM SC_CHOLUEDEE flowrate historian data calculated
2025-01-31 7:04:01 AM SC_GLORY3 flowrate realtime data calculated
2025-01-31 7:04:01 AM BB_GOMEN consumtion historian data calculated
2025-01-31 7:04:01 AM A07 flowrate realtime data calculated
2025-01-31 7:04:01 AM A09 flowrate realtime data calculated
2025-01-31 7:04:01 AM A02 flowrate historian data calculated
2025-01-31 7:04:01 AM SC_RAJA flowrate realtime data calculated
2025-01-31 7:04:01 AM A03 flowrate historian data calculated
2025-01-31 7:04:01 AM BB_GOMEN flowrate realtime data calculated
2025-01-31 7:04:01 AM A04 flowrate historian data calculated
2025-01-31 7:04:01 AM BB_MULIA flowrate realtime data calculated
2025-01-31 7:04:01 AM SC_SULTAN flowrate historian data calculated
2025-01-31 7:04:01 AM A02 spd rpm realtime calulated
2025-01-31 7:04:01 AM A06 flowrate historian data calculated
2025-01-31 7:04:01 AM A01 spd rpm realtime calulated
2025-01-31 7:04:01 AM A03 spd rpm realtime calulated
2025-01-31 7:04:01 AM A05 flowrate historian data calculated
2025-01-31 7:04:01 AM A04 spd rpm realtime calulated
2025-01-31 7:04:01 AM SC_GLORY1 flowrate historian data calculated
2025-01-31 7:04:01 AM SC_SULTAN spd rpm realtime calulated
2025-01-31 7:04:01 AM A06 spd rpm realtime calulated
2025-01-31 7:04:01 AM SC_GLORY3 flowrate historian data calculated
2025-01-31 7:04:01 AM SC_CHOLUEDEE spd rpm realtime calulated
2025-01-31 7:04:01 AM A07 flowrate historian data calculated
2025-01-31 7:04:01 AM A05 spd rpm realtime calulated
2025-01-31 7:04:01 AM A09 flowrate historian data calculated
2025-01-31 7:04:01 AM SC_GLORY1 spd rpm realtime calulated
2025-01-31 7:04:01 AM SC_RAJA flowrate historian data calculated
2025-01-31 7:04:01 AM SC_GLORY3 spd rpm realtime calulated
2025-01-31 7:04:01 AM A07 spd rpm realtime calulated
2025-01-31 7:04:01 AM BB_GOMEN flowrate historian data calculated
2025-01-31 7:04:01 AM A09 spd rpm realtime calulated
2025-01-31 7:04:01 AM BB_MULIA flowrate historian data calculated
2025-01-31 7:04:01 AM A01 spd rpm historian calculated
2025-01-31 7:04:01 AM A04 spd rpm historian calculated
2025-01-31 7:04:01 AM A06 spd rpm historian calculated
